id,title,original_title,release_date,vote_average,popularity,overview,backdrop_path,poster_path,genres,keywords,actors,directors,vote_average_naver,link_naver
1050000,1050000,1050000,2022-11-25,1050000,1050000,1050000,1050000,1050000,"[878, 14, 9648, 53, 27, 28]","[157701, 229266, 155030, 278807, 15001, 241827, 2340, 2726, 156075, 10541, 2095, 952, 703, 2754, 13005, 11612, 268132, 179431, 236, 41329, 9715, 9717]",[],[],1050000,1050000
436270,블랙 아담,Black Adam,2022-10-19,6.9,22201.949,"기원전 가장 번성하고 위대한 고대 국가였지만 현재는 국제 군사 조직 인터갱의 독재 국가로 전락한 칸다크. 인터갱의 눈을 피해 고대 유물을 찾던 '아드리아나'는 우연히 5000년 동안 잠들어 있던 '블랙 아담'을 깨우게 된다.  엄청난 괴력과 스피드, 방탄 능력과 자유자재의 고공비행, 번개를 쏘는 능력까지. 온몸이 무기인 '블랙 아담'은 자신의 앞을 막아서는 인터갱들을 모조리 쓸어버리고 칸다크 국민들은 이에 열광한다. 한편, 그의 폭주를 막기 위해 호크맨, 닥터 페이트, 아톰 스매셔, 사이클론으로 구성된 히어로 군단 '저스티스 소사이어티'가 칸다크에 나타나는데...",/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,/mEdMHGy1FfCUc7PskFO0tibm8jp.jpg,"[28, 14, 878]","[952, 2095, 9715, 9717, 15001, 155030, 179431, 229266]","[18918, 83860, 1253353, 164945, 2042690]",[59521],7.59,https://movie.naver.com/movie/bi/mi/basic.nhn?code=190694
505642,블랙 팬서: 와칸다 포에버,Black Panther: Wakanda Forever,2022-11-09,7.5,3237.882,"국왕이자 블랙 팬서인 티찰라의 죽음 이후 수많은 강대국으로부터 위협을 받게 된 와칸다. 라몬다, 슈리 그리고 나키아, 오코예, 음바쿠는 각자 사명감을 갖고 와칸다를 지키기 위해 외로운 싸움을 이어간다. 한편, 비브라늄의 패권을 둘러싼 미스터리한 음모와 함께 깊은 해저에서 모습을 드러낸 최강의 적 네이머와 탈로칸의 전사들은 와칸다를 향해 무차별 공격을 퍼붓기 시작하는데…",/yYrvN5WFeGYjJnRzhY0QXuo4Isw.jpg,/3PCRWLeqp5y20k6XVzcamZR3BWF.jpg,"[28, 12, 878]","[1701, 9663, 9715, 9717, 179431, 180059, 180547, 195394]","[1083010, 1267329, 82104, 1447932, 2133996]",[1056121],6.32,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184516
882598,스마일,Smile,2022-09-23,6.8,2837.283,기괴한 미소를 지으며 자신의 눈 앞에서 목숨을 끊는 환자를 목격한 정신과 의사 ‘로즈’. 그날 이후로 ‘로즈’의 일상에 설명할 수 없는 끔찍한 일들이 잇따라 발생한다. 일상을 덮친 공포에 발버둥치던 ‘로즈’는 이전에도 자신과 같은 일을 겪은 사람들이 있었고 그들 모두 끔찍한 죽음을 피할 수 없었다는 사실을 알게 된다. 시시각각 다가오는 죽음에서 벗어나기 위해 사투를 벌이던 로즈는 잊고 싶던 과거와 마주하게 되는데…,/olPXihyFeeNvnaD6IOBltgIV1FU.jpg,/8ncuVFt4e0M2NTTsoPtbxfWN5dO.jpg,"[27, 9648, 53]","[236, 703, 2340, 2726, 2754, 10541, 11612, 13005, 41329, 156075, 157701, 241827, 268132, 278807]","[1396124, 59219, 145245, 198847, 53493]",[2218465],7.64,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218749
829280,에놀라 홈즈 2,Enola Holmes 2,2022-11-04,7.7,1419.903,탐정이 된 후 첫 번째 사건을 수임한 에놀라. 하지만 실종된 소녀의 미스터리를 풀기 위해서는 친구들의 도움이 필요하다. 어쩌면 오빠 셜록의 도움까지도.,/u9Io1hVnxb2b3T0z99aOK8sq0SN.jpg,/S6fDnntDjduIWuLW2GcqFasobD.jpg,"[9648, 12, 80]","[703, 8250, 9663, 160342, 273879]","[1356210, 73968, 1558986, 1283, 11207]",[173847],0.00,https://movie.naver.com/movie/bi/mi/basic.nhn?code=216493
948276,사라진 탄환 2,Balle perdue 2,2022-11-10,7,1270.976,누명을 벗은 천재 자동차 정비공 리노. 이제 그의 마음속에 남은 목표는 단 하나. 동생과 멘토를 죽인 비리 경찰들에게 복수하는 것이다.,/707thQazLJiYLBhCrZlRoV05NNL.jpg,/A84Usw0jwhh5RPAKZV7gwP532Fl.jpg,"[28, 18, 53]",[306786],"[220692, 1145003, 83966, 221633, 126771]",[1188208],0.00,https://movie.naver.com/movie/bi/mi/basic.nhn?code=223806
985939,폴: 600미터,Fall,2022-08-11,7.3,1154.597,내려갈 길이 끊겨버린 600미터 TV 타워 위에서  두 명의 친구가 살아남기 위해 펼치는 사상 최초의 고공 서바이벌 여기에서,/1DBDwevWS8OhiT3wqqlW7KGPd6m.jpg,/8huJowZK1t7MNLEKo3dgLAxmiLW.jpg,[53],[209439],"[54633, 1279279, 47296, 2174509, 945542]",[90812],8.45,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220613
338958,마법에 걸린 사랑 2,Disenchanted,2022-11-16,7.6,1113.092,"동화 같은 삶을 위해 뉴욕을 떠나 먼로빌이라는 조용한 교외로 이사한 지젤. 그러나 그녀가 꿈꾸던 영원한 행복을 찾을 수 없자 안달라시아의 마법을 사용하게 되고, 이로 인해 마을 전체가 동화 속 세계로 변해 버린다. 이제 자신과 가족의 진정한 행복을 위해 시계가 자정을 가리키기 전까지 이 모든 것을 되돌려놓아야 하는데. 지젤은 그녀가 그토록 원하던 영원한 행복을 찾을 수 있을까?",/kpUre8wWSXn3D5RhrMttBZa6w1v.jpg,/9MSqVj9ulOAK5TqQFjtAMuj2dTk.jpg,"[35, 10751, 14]","[2343, 3205, 4344, 4896, 7376, 9663, 273980]","[9273, 18352, 52792, 2063192, 11006]",[20739],9.94,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101949
49046,서부 전선 이상 없다,Im Westen nichts Neues,2022-10-07,7.8,1074.146,"제1차 세계대전 당시 서부전선에서 싸운 독일군 청년의 강렬한 이야기.  젊은 사병과 전우들은 참호 속에서 사투를 벌이며,  처음 전쟁에 대해 느꼈던 환상과 도취감이  어떻게 절망과 공포로 변해가는지를 생생하게 체험한다.",/mqsPyyeDCBAghXyjbw4TfEYwljw.jpg,/qYrbTmCQ6C4tVt7exVXTOJy7VUc.jpg,"[10752, 18, 28]","[818, 2504, 11117, 14643, 15060, 191004, 210184, 230333]","[3631223, 1111158, 1820948, 212930, 6086]",[221522],0.00,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220858
846778,마고,Margaux,2022-09-09,6.8,1012.187,"주말 파티를 위해 에어비앤비 숙소를 렌트한 한 무리의 대학생들이, 숙소를 관리하는 인공지능 시스템 ""마고""의 사악한 본성과 맞닥뜨리게 되는 이야기",/sCOHkah9RbFeZfFnfBrcykKCMNa.jpg,/uNzgeMetu9l4q9NDw7gtiUFwPOJ.jpg,"[27, 878]",[231185],"[74929, 142113, 144852, 58058, 1334653]",[30058],0.00,https://movie.naver.com/movie/bi/mi/basic.nhn?code=176887
760741,비스트,Beast,2022-08-11,7,956.139,"두 딸 ‘메어’, ‘노라’와 함께 시간을 보내기 위해 친구 ‘마틴’이 있는 남아프리카를 찾은 의사 ‘네이트’.  그러나 즐거운 여행도 잠시, 처참히 죽어 있는 마을 사람들을 목격한 이들은 곧이어 이 모든 상황을 벌인 사자에게 맹목적으로 쫓기기 시작한다.  무전조차 터지지 않는 고립된 지역에서 마을을 완전히 장악해버린 사자로부터 벗어나기 위해 서로 의지하며 고군분투하는데…",/pz7bGOUNJXyPKJ2GcJN6nhwBnCs.jpg,/xp6EOh0HEN4bx4ot8UfcYnUpT8U.jpg,"[53, 12, 27]",[11338],"[17605, 1438277, 1877835, 82191, 2073065]",[67813],5.17,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218992
1037858,미션 축구: 돌연변이를 무찔러라!,The Soccer Football Movie,2022-11-09,6.9,877.608,좋아하는 축구선수들의 재능이 사라졌다. 바로 사악한 과학자가 다 훔쳐갔기 때문! 축구를 사랑하는 네 아이들이 이 상황을 되돌릴 수 있을까?,/sqVxhRkPwOo6jogWZjE99V1HRE1.jpg,/sWoYDNPNZs5MtzPbirXV73tIHrA.jpg,"[16, 35, 10751]","[1299, 1852, 251926, 280150, 287664, 300365]","[1066986, 2087866, 71041, 3792864, 2563800]",[1234311],0.00,https://movie.naver.com/movie/bi/mi/basic.nhn?code=223805
760161,오펀: 천사의 탄생,Orphan: First Kill,2022-07-27,6.8,850.145,"엄청난 비밀을 숨긴 사이코패스가 에스토니아의 정신병동을 탈출, 부유한 가족의 실종된 딸 ‘에스더’로 사칭해 미국에 온다. 재회의 기쁨도 잠시, 어딘지 낯선 딸의 정체를 눈치챈 엄마는 가족을 지키기 위해 에스더와 맞서는데...  누구도 상상 못한 충격적인 반전이 기다린다!",/5GA3vV1aWWHTSDO5eno8V5zDo8r.jpg,/vKIhsEVEtLTwTkmLSDNi230Zr3Q.jpg,"[27, 53]","[6259, 6625, 9675, 9826, 11062, 18409, 161814, 173298, 197430, 210544, 227855]","[77517, 12041, 58014, 2563029, 60719]",[62768],6.46,https://movie.naver.com/movie/bi/mi/basic.nhn?code=219836
856245,투 킬 더 비스트,Matar a la Bestia,2022-04-28,5.8,817.918,"열일곱 살 에밀리아는 이모 이네스의 호스텔에 도착하는데, 그곳에는 위험한 야수가 어슬렁거린다는 소문이 돌고 있다. 성(性)에 눈을 뜨기 위한 여정을 떠난 에밀리아는 야수를 죽이기 위해 자신의 과거와 맞서야만 한다.",/hNzrnsH9FMMfITu2xQqaf70CRv5.jpg,/epmWB73CmhoNkHXTf9aAiMhJLhN.jpg,"[9648, 14, 53]","[1415, 2286, 156091]","[3035813, 1961671, 3181204, 55012, 3181205]",[1657527],0.00,https://movie.naver.com/movie/bi/mi/basic.nhn?code=207944
